name,Date,State,WindinStudy,BR,SH,LoadinStudy,912L,174L
Alt1196,Feb-31,9L20,1244.420236,0,0,1878.85,29.04971695,14.38516235
Alt1197,Feb-31,9L20,1425.637372,323.3805542,0,1919.24,13.5527544,2.23537302
Alt1198,Feb-31,9L20,1501.334797,323.3805542,0,1902.9,-16.32600403,-42.37944031
Alt1199,Feb-31,9L20,1475.518551,0,0,1886.11,1.782222986,-11.85143757
Alt1200,Feb-31,9L20,1490.287189,96.05757904,0,1866.63,-4.964470863,-22.31804276
Alt1201,Feb-31,9L20,1529.959571,301.9779358,0,1836,-27.61467361,-54.16991806
Alt1202,Feb-31,9L20,1410.082397,0,0,1812.66,-0.028207541,-15.18039513
Alt1203,Feb-31,9L20,1339.059435,323.3805542,0,1797.3,4.366483688,-9.963216782
Alt1204,Feb-31,9L20,1279.074023,0,0,1788.37,6.065381527,-6.434346676
Alt1205,Feb-31,9L20,1203.671919,323.3805542,0,1788.5,-5.093421459,-24.64100075
Alt1206,Feb-31,9L20,1175.006987,323.3805542,155.3338318,1784.31,-2.43874526,-20.70053673
Alt1207,Feb-31,9L20,1139.027148,323.3805542,323.3805542,1789.37,-21.02453995,-37.06219101
Alt1208,Feb-31,9L20,1150.523917,323.3805542,356.1741028,1806.22,-21.06863022,-34.43434906
Alt1209,Feb-31,9L20,1170.724607,323.3805542,380.7692261,1838.57,-19.33237648,-29.89624405
Alt1210,Feb-31,9L20,1072.797413,373.8546143,380.7692261,1874.21,-7.651569366,-13.4980402
Alt1211,Feb-31,9L20,1053.007227,380.7692261,380.7692261,1884.93,-5.541046619,-15.66803265
Alt1212,Feb-31,9L20,1096.532475,380.7692261,380.7692261,1886.8,-10.79465866,-26.12903023
Alt1213,Feb-31,9L20,1090.871958,380.7692261,380.7692261,1883.03,-9.811776161,-25.25977325
Alt1214,Feb-31,9L20,1070.535464,380.7692261,380.7692261,1892.71,-6.794959545,-24.06048012
Alt1215,Feb-31,9L20,1025.888281,380.7692261,380.7692261,1889.48,-1.997140884,-19.28154564
Alt1216,Feb-31,9L20,991.2693448,356.1741028,380.7692261,1894.2,1.733638287,-16.48180962
Alt1217,Feb-31,9L20,1026.784716,356.1741028,380.7692261,1888.6,-2.99951601,-21.90298271
Alt1218,Feb-31,9L20,979.9840403,356.1741028,380.7692261,1886.85,1.844894886,-17.33048058
Alt1219,Feb-31,9L20,968.2588091,356.1741028,380.7692261,1895.57,4.14553833,-15.75644493
Alt1220,Feb-31,9L20,943.3586702,323.3805542,380.7692261,1897.92,29.35780907,16.77692413
Alt1221,Feb-31,9L20,722.4718411,380.7692261,380.7692261,1926.46,54.87580109,44.11409378
Alt1222,Feb-31,9L20,599.7403576,380.7692261,450,1931.33,68.59729004,56.78155136
Alt1223,Feb-31,9L20,564.978261,380.7692261,380.7692261,1916.22,68.97853851,59.0243454
Alt1224,Feb-31,9L20,423.2576756,380.7692261,438.6930237,1898.92,83.19493866,72.13396454
Alt1225,Feb-31,9L20,397.7079701,44.84327698,450,1881.36,80.6439209,73.94372559
Alt1226,Feb-31,9L20,473.1104882,0,450,1852.04,67.66485596,62.71771622
Alt1227,Feb-31,9L20,565.922374,0,380.7692261,1838.56,53.49027634,52.53121567
Alt1228,Feb-31,9L20,625.7244921,0,450,1820.63,44.28356934,38.07403564
Alt1229,Feb-31,9L20,703.4177136,0,450,1811.15,33.20157242,22.87117958
Alt1230,Feb-31,9L20,755.1557927,0,450,1811.03,28.49056435,20.58793831
Alt1231,Feb-31,9L20,827.0372548,0,450,1815.92,21.51008224,13.51400757
Alt1232,Feb-31,9L20,859.5361466,0,450,1821.08,20.49349213,12.45798492
Alt1233,Feb-31,9L20,934.6658487,0,450,1849.64,18.33378792,10.17234516
Alt1234,Feb-31,9L20,1013.185466,0,450,1866,13.56441402,2.339335203
Alt1235,Feb-31,9L20,1061.417656,0,450,1889.52,16.97685623,9.987538338
Alt1236,Feb-31,9L20,1203.21775,0,450,1899.66,2.639146566,-10.94860268
Alt1237,Feb-31,9L20,1220.200327,0,450,1888.48,1.841254711,-13.16173267
Alt1238,Feb-31,9L20,1120.466147,0,450,1882.15,13.08491707,3.976958752
Alt1239,Feb-31,9L20,1033.48908,0,450,1876.81,21.01002502,16.4364357
Alt1240,Feb-31,9L20,914.0068173,0,450,1873.5,28.43256378,21.98108864
Alt1241,Feb-31,9L20,781.354723,0,450,1864.51,42.22446823,35.30846786
Alt1242,Feb-31,9L20,640.7339566,0,450,1870.13,57.7698822,49.76043701
Alt1243,Feb-31,9L20,503.6082606,0,450,1874.38,73.3757019,61.71115494
Alt1244,Feb-31,9L20,381.4785929,0,450,1887.87,86.89831543,74.87171936
Alt1245,Feb-31,9L20,279.8795747,0,450,1922.74,98.78346252,81.07579041
Alt1246,Feb-31,9L20,193.0078295,0,450,1915.5,106.167717,84.80875397
Alt1247,Feb-31,9L20,150.7867274,0,450,1899.84,109.4139023,88.72273254
Alt1248,Feb-31,9L20,149.7871308,0,450,1877.03,107.493515,91.50900269
Alt1249,Feb-31,9L20,179.6256754,0,450,1846.87,101.7208862,92.0512619
Alt1250,Feb-31,9L20,254.3077941,0,450,1822.22,89.69559479,77.60843658
Alt1251,Feb-31,9L20,314.5242863,0,450,1798.81,79.2592392,72.23040771
Alt1252,Feb-31,9L20,332.1590333,0,450,1777.18,75.64202881,68.32028961
Alt1253,Feb-31,9L20,443.5964239,0,450,1767.82,59.8265152,50.45907211
Alt1254,Feb-31,9L20,619.5594082,0,450,1755.79,40.16239548,27.21874619
Alt1255,Feb-31,9L20,693.4911542,0,450,1759.19,34.02661514,20.00018501
Alt1256,Feb-31,9L20,776.2780175,0,450,1771.14,26.43528366,12.03774834
Alt1257,Feb-31,9L20,827.984302,0,450,1785.73,-4.099646568,-34.24053192
Alt1258,Feb-31,9L20,842.1982718,0,450,1775.98,-7.311565399,-38.75942993
